ano,cbo,n,mean_h,p50,pct_30,pct_36,pct_40,pct_44,d_mean_h,d_pct_30,d_pct_36,d_pct_40,d_pct_44,score_drop44,score_rise36,score_drop_mean
2005,0101,6275,37.64414342629483,40,0.15346613545816734,0.00796812749003984,0.29258964143426297,0.4165737051792829,,,,,,,,
2007,0101,5373,38.79731993299833,40,0.017494881816489855,0.04671505676530802,0.3694397915503443,0.4332774986041318,1.1531765067034954,-0.13597125364167748,0.03874692927526818,0.07685015011608132,0.0167037934248489,0.0167037934248489,0.03874692927526818,1.1531765067034954
2009,0101,7709,37.413023738487496,40,0.08029575820469581,0.13970683616552082,0.179270981969127,0.4568685951485277,-1.3842961945108314,0.06280087638820596,0.0929917794002128,-0.1901688095812173,0.023591096544395895,0.023591096544395895,0.0929917794002128,-1.3842961945108314
2010,0101,8608,38.28171468401487,40,0.04809479553903346,0.14010223048327136,0.258364312267658,0.42170074349442377,0.8686909455273764,-0.03220096266566235,0.00039539431775054146,0.079093330298531,-0.03516785165410391,-0.03516785165410391,0.00039539431775054146,0.8686909455273764
2011,0101,8595,38.22303664921472,40,0.057126236183827804,0.15066899360093078,0.21058755090168702,0.4586387434554974,-0.058678034800152545,0.009031440644794345,0.010566763117659417,-0.04777676136597098,0.03693799996107361,0.03693799996107361,0.010566763117659417,-0.058678034800152545
2012,0101,8283,37.57756851382351,40,0.04261740915127369,0.16962453217433296,0.2780393577206326,0.36762042738138356,-0.6454681353912122,-0.014508827032554114,0.01895553857340218,0.06745180681894558,-0.09101831607411381,-0.09101831607411381,0.01895553857340218,-0.6454681353912122
2013,0101,7419,38.7554926539965,40,0.04380644291683515,0.14085456260951612,0.3331985442782046,0.38172260412454506,1.1779241401729905,0.0011890337655614605,-0.02876996956481684,0.055159186557572015,0.014102176743161499,0.014102176743161499,-0.02876996956481684,1.1779241401729905
2014,0101,6784,39.30041273584903,40,0.06441627358490566,0.11748231132075472,0.41140919811320753,0.3487617924528302,0.5449200818525313,0.02060983066807051,-0.0233722512887614,0.07821065383500292,-0.032960811671714885,-0.032960811671714885,-0.0233722512887614,0.5449200818525313
2015,0101,6245,39.85236188951158,40,0.05828662930344276,0.09511609287429944,0.39519615692554044,0.40736589271417134,0.551949153662548,-0.006129644281462905,-0.022366218446455283,-0.016213041187667088,0.05860410026134116,0.05860410026134116,-0.022366218446455283,0.551949153662548
2016,0101,5377,40.46103775339408,40,0.06341826297191742,0.054491352055049284,0.36042402826855124,0.4887483726985308,0.6086758638825032,0.005131633668474668,-0.04062474081925015,-0.0347721286569892,0.08138247998435943,0.08138247998435943,-0.04062474081925015,0.6086758638825032
