efficiency_mode,sigma_sub,wedge_relief_national,omega,hourly_ratio_target,hourly_ratio_implied,bridge_residual,baseline_operator_h0,hours_cap,tau_national,tau_national_cap,pi_national,Y0,Y1,dY_pct,A_req_pct,A_req_signed_pct,A_req_nonnegative_pct,A_req_frozen_pct,baseline_informality_pct,informality_pct,dInf_pp,restoration_residual,frozen_restoration_residual,max_kkt_violation,baseline_NF,reform_NF,compensated_NF,NF_init,gamma_F
bilateral,0.4,0.0,0.9662428352815933,1.6824732562046965,1.6824732562046962,-2.220446049250313e-16,44.0,40.0,3.1525054659257283,3.1525054659257283,0.0,4.957645989803924,4.890330495953564,-1.35781163053601,1.3412822938430935,1.3412822938430935,1.3412822938430935,1.5039774015498386,38.60008721172534,38.277332096462494,-0.3227551152628405,0.0,2.220446049250313e-16,2.244867703185549e-15,0.3622594854508205,0.36416374063087126,0.36470642111605917,0.3622594854508205,0.06
bilateral,0.4,0.016666666666666666,0.9662428352815933,1.6824732562046965,1.6824732562046962,-2.220446049250313e-16,44.0,40.0,3.1525054659257283,3.0999637081602995,0.0,4.957645989803924,4.892465597030204,-1.3147447983936855,1.2994646019136136,1.2994646019136136,1.2994646019136136,1.5039774015498386,38.60008721172534,38.161581684754765,-0.4385055269705729,-2.220446049250313e-16,2.220446049250313e-16,3.554936293254096e-15,0.3622594854508205,0.36484666805994687,0.365360893735395,0.3622594854508205,0.06
bilateral,0.4,0.03333333333333333,0.9662428352815933,1.6824732562046965,1.6824732562046962,-2.220446049250313e-16,44.0,40.0,3.1525054659257283,3.0474219503948707,0.0,4.957645989803924,4.894552470630477,-1.2726507560888223,1.2585434671093187,1.2585434671093187,1.2585434671093187,1.5039774015498386,38.60008721172534,38.046513514095594,-0.553573697629739,-2.220446049250313e-16,2.220446049250313e-16,1.3322676295501878e-15,0.3622594854508205,0.36552557026683596,0.3660125394795469,0.3622594854508205,0.06
bilateral,0.4,0.05,0.9662428352815933,1.6824732562046965,1.6824732562046962,-2.220446049250313e-16,44.0,40.0,3.1525054659257283,2.994880192629442,0.0,4.957645989803924,4.896591653455774,-1.231518677891008,1.2185117658948696,1.2185117658948696,1.2185117658948696,1.5039774015498386,38.60008721172534,37.93212117778136,-0.667966033943973,2.220446049250313e-16,2.220446049250313e-16,1.4310655525179294e-15,0.3622594854508205,0.36620048505108993,0.3666613582299168,0.3622594854508205,0.06
bilateral,0.4,0.06666666666666667,0.9662428352815933,1.6824732562046965,1.6824732562046962,-2.220446049250313e-16,44.0,40.0,3.1525054659257283,2.942338434864013,0.0,4.957645989803924,4.898583675115211,-1.191337881127097,1.179362380195692,1.179362380195692,1.179362380195692,1.5039774015498386,38.60008721172534,37.81839833436715,-0.7816888773581887,-2.220446049250313e-16,2.220446049250313e-16,5.730984263541128e-15,0.3622594854508205,0.3668714498272338,0.3673073503174649,0.3622594854508205,0.06
bilateral,0.4,0.08333333333333333,0.9662428352815933,1.6824732562046965,1.6824732562046962,-2.220446049250313e-16,44.0,40.0,3.1525054659257283,2.8897966770985843,0.0,4.957645989803924,4.90052905821122,-1.152097824454834,1.1410881994198485,1.1410881994198485,1.1410881994198485,1.5039774015498386,38.60008721172534,37.705338707386204,-0.8947485043391323,4.440892098500626e-16,2.220446049250313e-16,3.099734011136057e-15,0.3622594854508205,0.3675385016264214,0.3679505165123224,0.3622594854508205,0.06
bilateral,0.4,0.1,0.9662428352815933,1.6824732562046965,1.6824732562046962,-2.220446049250313e-16,44.0,40.0,3.1525054659257283,2.8372549193331555,0.0,4.957645989803924,4.90242831842509,-1.1137881061373922,1.1036821224179816,1.1036821224179816,1.1036821224179816,1.5039774015498386,38.60008721172534,37.59293608504609,-1.0071511266792454,0.0,2.220446049250313e-16,4.057897681070122e-15,0.3622594854508205,0.36820167709822804,0.36859085801344393,0.3622594854508205,0.06
bilateral,0.4,0.11666666666666667,0.9662428352815933,1.6824732562046965,1.6824732562046962,-2.220446049250313e-16,44.0,40.0,3.1525054659257283,2.7847131615677267,0.0,4.957645989803924,4.904281964602396,-1.0763984623201717,1.067137059383061,1.067137059383061,1.067137059383061,1.5039774015498386,38.60008721172534,37.48118431990258,-1.118902891822754,4.440892098500626e-16,2.220446049250313e-16,3.01202205538198e-15,0.3622594854508205,0.36886101251257475,0.3692283764383106,0.3622594854508205,0.06
bilateral,0.4,0.13333333333333333,0.9662428352815933,1.6824732562046965,1.6824732562046962,-2.220446049250313e-16,44.0,40.0,3.1525054659257283,2.732171403802298,0.0,4.957645989803924,4.9060904988382825,-1.0399187653106323,1.0314459336891568,1.0314459336891568,1.0314459336891568,1.5039774015498386,38.60008721172534,37.37007732851322,-1.2300098832121187,-2.220446049250313e-16,2.220446049250313e-16,4.203343402509052e-15,0.3622594854508205,0.369516543761772,0.36986307381268785,0.3622594854508205,0.06
bilateral,0.4,0.15,0.9662428352815933,1.6824732562046965,1.6824732562046962,-2.220446049250313e-16,44.0,40.0,3.1525054659257283,2.679629646036869,0.0,4.957645989803924,4.907854416562497,-1.0043390218629988,0.9966016836704172,0.9966016836704172,0.9966016836704172,1.5039774015498386,38.60008721172534,37.25960909107158,-1.3404781206537597,-5.551115123125783e-16,2.220446049250313e-16,6.8134517125506555e-15,0.3622594854508205,0.37016830636267767,0.37049495256044895,0.3622594854508205,0.06
