version,efficiency_mode,hours_cap,sigma_sub,omega,kappa,Y0,Y1,C0,C1,dY_pct,A_req_pct,A_req_frozen_pct,baseline_informality_pct,informality_pct,dInf_pp,dGHH_pct,CE_pct,hours_pct,efficiency_pct,reallocation_pct,decomposition_total_pct,dimension,E_Q,h_star,eta_I,bridge_target,bridge_residual,baseline_operator_h0,interpretation
empirical_sensitivity_topcoded44,bilateral,40,1.326,0.6753802439191128,0.003164705983623533,4.13576241145319,4.084966262758809,4.13576241145319,4.084966093310869,-1.2282172823494752,1.1474391947101203,1.09022699735275,38.600087211725366,39.002902094183725,0.4028148824583633,0.789229197428282,0.6182295379854876,-2.242915695220939,1.1644464606219223,-0.1497480477504538,-1.2282172823494708,efficiency,0.4,40.0,0.4,1.6824732562046965,2.4424906541753444e-15,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,40,1.326,0.6756514587578325,0.0021098039890823555,4.184726136567193,4.114567073902902,4.184726136567193,4.114566755851357,-1.6765508751271252,1.5725760814771839,1.494071855542023,38.60008721172534,39.15195635994256,0.5518691482172211,0.2249881084948079,0.17624068498759954,-2.2435240598822053,0.771446106729871,-0.20447292197479433,-1.6765508751271287,efficiency,0.6,40.0,0.4,1.6824732562046965,4.440892098500626e-16,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,40,1.326,0.6757995269550134,0.0010549019945411775,4.238516985167174,4.148893428185968,4.238516985167174,4.148892918628919,-2.1145027209952705,1.9911763366443846,1.8916581865906057,38.60008721172536,39.29861512898538,0.6985279172600223,-0.32613279246142607,-0.25547068742811707,-2.2389617297446187,0.38242291169292564,-0.2579639029435747,-2.114502720995268,efficiency,0.8,40.0,0.4,1.6824732562046965,1.5543122344752192e-15,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,40,1.326,0.6757603959108988,0.0,4.2995567632993525,4.190517208413316,4.2995567632993525,4.19051647033611,-2.5360650152776,2.3972342385487844,2.277285204002677,38.60008721172536,39.440781811306344,0.8406945995809878,-0.8565775678997658,-0.6709857615214833,-2.2265796354101415,0.0,-0.30948537986745783,-2.5360650152775994,efficiency,1.0,40.0,0.4,1.6824732562046965,2.220446049250313e-16,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,40,1.326,0.677145336520071,0.0011155514023328946,4.231715658950929,4.164044760840251,4.231715658950929,4.164044471828545,-1.5991362266399078,1.4989185494001633,1.4241043756650917,38.60008721172534,39.126159079459754,0.5260718677344178,0.3224138185349898,0.25255749118574206,-2.210596581161188,0.8064881747508664,-0.19502782022958526,-1.5991362266399067,peak,0.6,38.0,0.4,1.6824732562046965,4.440892098500626e-16,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,40,1.326,0.6766549330007342,0.0014594328457154147,4.21852506199893,4.1499112165134795,4.21852506199893,4.149910917402615,-1.6264889855351017,1.5249317988140554,1.448814409803556,38.60008721172536,39.13527162260302,0.5351844108776593,0.28799048482633327,0.22559254644729443,-2.223009884071631,0.7948863340505757,-0.1983654355140502,-1.6264889855351055,peak,0.6,39.0,0.4,1.6824732562046965,2.220446049250313e-15,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,40,1.326,0.6756514587578325,0.0021098039890823555,4.184726136567193,4.114567073902902,4.184726136567193,4.114566755851357,-1.6765508751271252,1.5725760814771839,1.494071855542023,38.60008721172534,39.15195635994256,0.5518691482172211,0.2249881084948079,0.17624068498759954,-2.2435240598822053,0.771446106729871,-0.20447292197479433,-1.6765508751271287,peak,0.6,40.0,0.4,1.6824732562046965,4.440892098500626e-16,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,40,1.326,0.6727055558596137,0.003805787903135696,4.088008157986804,4.014429302974711,4.088008157986804,4.0144289357254435,-1.7998705523212144,1.6901252844546688,1.6057308365280631,38.60008721172534,39.193105149446666,0.5930179377213296,0.0697939387315089,0.0546719186730153,-2.2841642465652376,0.703809651102997,-0.21951595685897593,-1.7998705523212166,peak,0.6,41.0,0.4,1.6824732562046965,1.5543122344752192e-15,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,40,1.326,0.6652020507284598,0.0021098039890823555,4.015784052219013,3.9484584275898817,4.015784052219013,3.9484581096177527,-1.6765250260887155,1.5725671510247174,1.4940718555420451,38.60008721172536,39.151887455916466,0.5518002441911085,0.22501695567262586,0.17626328194355692,-2.2435240598822155,0.7714461067298649,-0.2044470729363674,-1.676525026088718,eta,0.6,40.0,0.33,1.6824732562046965,-1.0436096431476471e-14,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,40,1.326,0.6756514587578325,0.0021098039890823555,4.184726136567193,4.114567073902902,4.184726136567193,4.114566755851357,-1.6765508751271252,1.5725760814771839,1.494071855542023,38.60008721172534,39.15195635994256,0.5518691482172211,0.2249881084948079,0.17624068498759954,-2.2435240598822053,0.771446106729871,-0.20447292197479433,-1.6765508751271287,eta,0.6,40.0,0.4,1.6824732562046965,4.440892098500626e-16,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,40,1.326,0.6875562083389861,0.0021098039890823555,4.382501273846111,4.309025194865198,4.382501273846111,4.309024876728429,-1.6765786109271263,1.5725856635182556,1.4940718555419785,38.60008721172536,39.15203029314476,0.5519430814194037,0.2249571558145294,0.17621643872138137,-2.243524059882205,0.7714461067299078,-0.20450065777483045,-1.6765786109271277,eta,0.6,40.0,0.5,1.6824732562046965,6.661338147750939e-16,44.0,Conditional base44 hourly mapping; not an identified set
