version,efficiency_mode,hours_cap,sigma_sub,omega,kappa,Y0,Y1,C0,C1,dY_pct,A_req_pct,A_req_frozen_pct,baseline_informality_pct,informality_pct,dInf_pp,dGHH_pct,CE_pct,hours_pct,efficiency_pct,reallocation_pct,decomposition_total_pct,mapping,baseline_operator_h0,restoration_residual
reprocessed_data,bilateral,30.0,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.1883391632782625,4.131742533101652,3.18825516361475,-22.833062860651854,26.4194600537325,25.028670008874187,38.60008721172536,47.56871776047719,8.968630548751833,-17.03150681569634,-13.341347005628801,-14.7782945401411,-5.240050058020036,-2.8147182624907128,-22.83306286065185,habitual_integral,120.0,1.199040866595169e-13
reprocessed_data,bilateral,30.25,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.219455553542899,4.131742533101652,3.2193780067319526,-22.0799571185746,25.337255137479975,24.005792651127965,38.60008721172536,47.21734990157237,8.61726268984701,-16.209268784093727,-12.697260547540083,-14.46162978372382,-4.896976082910753,-2.7213512519400287,-22.0799571185746,habitual_integral,120.0,9.214851104388799e-14
reprocessed_data,bilateral,30.5,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.2503486617614383,4.131742533101652,3.250277194983938,-21.332255441351545,24.280389389980208,23.006720502129507,38.60008721172536,46.87263835761484,8.272551145889478,-15.39761009312448,-12.061461239614177,-14.146081137220682,-4.557547744366491,-2.628626559764375,-21.33225544135155,habitual_integral,120.0,7.061018436615996e-14
reprocessed_data,bilateral,30.75,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.281005497465786,4.131742533101652,3.2809397520365464,-20.59027223550707,23.248486407428004,22.031102373022836,38.60008721172536,46.534597791704236,7.934510579978876,-14.596921421696706,-11.434255113662422,-13.83163579331719,-4.222042281046587,-2.536594161143292,-20.59027223550707,habitual_integral,120.0,5.284661597215745e-14
reprocessed_data,bilateral,31.0,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.3114131588452667,4.131742533101652,3.3113527900669455,-19.85431976180213,22.241175774739762,21.078592995144852,38.60008721172536,46.203237140898636,7.603149929173275,-13.807589803302504,-10.815945345920293,-13.518281189273388,-3.89073594060859,-2.4453026319201516,-19.854319761802127,habitual_integral,120.0,4.0190073491430667e-14
reprocessed_data,bilateral,31.25,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.341552321684346,4.131742533101652,3.3414969976141786,-19.124865721585003,21.25830406132132,20.14905255105395,38.60008721172536,45.87862972013502,7.278542508409657,-13.03016606555521,-10.206963418018248,-13.206065995314427,-3.563980978208038,-2.354818748062541,-19.124865721585003,habitual_integral,120.0,3.042011087472929e-14
reprocessed_data,bilateral,31.5,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.371416898575341,4.131742533101652,3.371366302082235,-18.4020574475521,20.299292623636124,19.241939307107046,38.60008721172536,45.560701509276825,6.960614297551465,-12.264857169350565,-9.607471449324608,-12.894916708801487,-3.2419722238327973,-2.2651685149178213,-18.402057447552107,habitual_integral,120.0,2.2426505097428162e-14
reprocessed_data,bilateral,31.75,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.40099428357747,4.131742533101652,3.4009481109215027,-17.686200039565815,19.363790286421924,18.356926776406013,38.60008721172536,45.24944633837874,6.649359126653382,-11.512038463733058,-9.01776346325756,-12.584821469514496,-2.9249820344958737,-2.176396535555445,-17.686200039565815,habitual_integral,120.0,1.6431300764452317e-14
reprocessed_data,bilateral,32.0,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.4302719792067315,4.131742533101652,3.4302299398024587,-16.97759597252383,18.451452333313824,17.493694722839525,38.60008721172536,44.94485362036487,6.344766408639507,-10.772081138333862,-8.438130225028193,-12.275768636940201,-2.6132811662054762,-2.0885461693781546,-16.977595972523833,habitual_integral,120.0,1.2212453270876722e-14
reprocessed_data,bilateral,32.25,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.4591622557273793,4.131742533101652,3.4591240621567323,-16.278368557233748,17.564237744251354,16.65410323556047,38.60008721172536,44.647679322711944,6.047592110986589,-10.04723639883373,-7.870335179086421,-11.968497087852208,-2.3079859278636827,-2.001885541517855,-16.278368557233748,habitual_integral,120.0,8.43769498715119e-15
reprocessed_data,bilateral,32.5,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.4877295411897737,4.131742533101652,3.4876949297073314,-15.586958450395617,16.699412513887314,15.835571731140806,38.60008721172536,44.357103543234935,5.757016331509574,-9.33592239171119,-7.313139206840432,-11.662240357808177,-2.0084926428419494,-1.916225449745495,-15.586958450395622,habitual_integral,120.0,6.217248937900877e-15
reprocessed_data,bilateral,32.75,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.5159616975021337,4.131742533101652,3.5159304166166754,-14.90365942858638,15.856656496974653,15.037803458318244,38.60008721172536,44.073105256083444,5.473018044358086,-8.638497017923969,-6.766822664040443,-11.356987511881302,-1.7150662011113236,-1.8316057155937533,-14.903659428586378,habitual_integral,120.0,4.218847493575595e-15
reprocessed_data,bilateral,33.0,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.5438467155683577,4.131742533101652,3.5438185257563832,-14.228762146318141,15.035656039962442,14.260507860187177,38.60008721172536,43.79566020391638,5.195572992191017,-7.955313431952919,-6.23166218836312,-11.052727811388285,-1.4279692616868567,-1.7480650732429956,-14.228762146318138,habitual_integral,120.0,2.886579864025407e-15
reprocessed_data,bilateral,33.25,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.5713566811915274,4.131742533101652,3.5713313529866433,-13.562942207084937,14.236566821120444,13.503838860026129,38.60008721172536,43.524898190392776,4.9248109786674155,-7.2871081460100235,-5.708234714374518,-10.749621451994237,-1.14763153579164,-1.6656892192990624,-13.56294220708494,habitual_integral,120.0,2.4424906541753444e-15
reprocessed_data,bilateral,33.5,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.598496213581864,4.131742533101652,3.5984735307372286,-12.906087812772926,13.458604481311575,12.76706032102175,38.60008721172536,43.26062592733402,4.660538715608658,-6.633822354859562,-5.196494177973323,-10.447486239536365,-0.8741357701860574,-1.5844658030505032,-12.906087812772924,habitual_integral,120.0,1.5543122344752192e-15
reprocessed_data,bilateral,33.75,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.6252537232818796,4.131742533101652,3.625233480592244,-12.258479461438199,12.701476002180057,12.049901252394534,38.60008721172536,43.00281129465827,4.402724082932913,-5.995794028221742,-4.696705322107031,-10.146312012332313,-0.6077369584489233,-1.5044304906569588,-12.258479461438194,habitual_integral,120.0,1.1102230246251565e-15
reprocessed_data,bilateral,34.0,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.6516177713329494,4.131742533101652,3.6515997743222672,-11.620394008633406,11.964894939418036,11.352096869432815,38.60008721172536,42.751419986364425,4.151332774639066,-5.373355737857177,-4.209128661321455,-9.846088785856702,-0.34868723416190184,-1.4256179886148,-11.620394008633404,habitual_integral,120.0,8.881784197001252e-16
reprocessed_data,bilateral,34.25,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.677568131974927,4.131742533101652,3.677552195895631,-10.99232097566789,11.24882668806475,10.673620986893638,38.60008721172536,42.50649972138557,3.9064125096602123,-4.767042659760856,-3.7341834168126695,-9.546909108185279,-0.09732308708883106,-1.3480887803937844,-10.992320975667893,habitual_integral,120.0,6.661338147750939e-16
reprocessed_data,bilateral,34.5,1.326,0.6772094354663557,0.0021098039890823555,4.131742533101652,3.703102820360093,4.131742533101652,3.7030887713560703,-10.37430840153981,10.552741615141127,10.013978362850718,38.60008721172536,42.26792507488935,3.667837863163992,-4.176959582857477,-3.2719516732383567,-9.248660341765353,0.14620035270617418,-1.2718484124806364,-10.374308401539816,habitual_integral,120.0,4.440892098500626e-16
