version,efficiency_mode,hours_cap,sigma_sub,omega,Y0,Y1,dY_pct,A_req_pct,baseline_informality_pct,informality_pct,dInf_pp,dGHH_pct,CE_pct,metric_note,kappa,C0,C1,A_req_frozen_pct,hours_pct,efficiency_pct,reallocation_pct,decomposition_total_pct,input_note,implied_hourly_ratio,implied_weekly_ratio
original,bilateral,40,1.326,0.622,4.113979698397168,4.031848773398268,-1.9963862493268647,1.9249,37.7045,38.163,0.458499999999995,0.4135,0.3239353930390062,GHH from original; CE newly evaluated from original allocations; no original level decomposition,,,,,,,,,,,
original,bilateral,36,1.326,0.622,4.113979698397168,3.783944143288676,-8.02229420911037,8.1824,37.7045,39.62125,1.9167499999999948,-3.6264,-2.840685008231293,GHH from original; CE newly evaluated from original allocations; no original level decomposition,,,,,,,,,,,
original,flat_below,40,1.326,0.622,4.118989481680488,4.03658494766567,-2.000600739121039,1.9266831200737575,37.7,38.163,0.4629999999999967,0.4080178880340179,0.3196140122933104,Original flat solver; GHH and CE reconstructed from original allocations,,,,,,,,,,,
original,flat_below,36,1.326,0.622,4.118989481680488,3.847328243932461,-6.595337010600777,6.63276121142018,37.7,39.27175,1.5717499999999995,-1.7597680845849673,-1.378484999591549,Original flat solver; GHH and CE reconstructed from original allocations,,,,,,,,,,,
code_corrected_frozen_inputs,bilateral,40,1.326,0.622,3.975613678726516,3.895589812515908,-2.012868268333401,1.9231982861923624,40.91580502215657,41.45115195205465,0.5353469298980784,0.2338220527863678,0.1831606080159881,,0.0021098039890823,3.975613678726516,3.895589256118815,1.868131007698204,-2.8069369956645045,0.973065117169908,-0.1789963898388064,-2.0128682683334027,Original numerical inputs frozen; 59/41 and group informality treated as hypotheses; formal-to-total accounting corrected,1.6978189750753263,1.6300605632518657
code_corrected_frozen_inputs,bilateral,36,1.326,0.622,3.975613678726516,3.6547483737189417,-8.070837132001095,8.176826526673375,40.91580502215657,43.14125146209727,2.225446439940693,-4.061066876582697,-3.1811690533231127,,0.0021098039890823,3.975613678726516,3.654738726351117,7.945313482436678,-6.975938144793426,-0.3845606356649156,-0.7103383515427507,-8.070837132001092,Original numerical inputs frozen; 59/41 and group informality treated as hypotheses; formal-to-total accounting corrected,1.6978189750753263,1.6300605632518657
code_corrected_frozen_inputs,flat_below,40,1.326,0.622,3.980082478232873,3.900144801822801,-2.00844271060342,1.9187364957172548,40.91580502215659,41.45016337236098,0.5343583502043947,0.2395489575831621,0.1876466834401437,,0.0021098039890823,3.980082478232873,3.900144247565663,1.8637498414396212,-2.800436533949445,0.9707867867717516,-0.1787929634257266,-2.00844271060342,Original numerical inputs frozen; 59/41 and group informality treated as hypotheses; formal-to-total accounting corrected,1.6988569132306912,1.63105707823903
code_corrected_frozen_inputs,flat_below,36,1.326,0.622,3.980082478232873,3.7161798299169737,-6.630582400218755,6.621991080222589,40.91580502215659,42.72918206912693,1.813377046970338,-2.1686955878870635,-1.6988115438448663,,0.0021098039890823,3.980082478232873,3.716173430625867,6.43375276877276,-6.95935184380627,0.9145092995899784,-0.5857398560024668,-6.630582400218758,Original numerical inputs frozen; 59/41 and group informality treated as hypotheses; formal-to-total accounting corrected,1.6988569132306912,1.63105707823903
bridge_recalibrated_assumed_hourly,bilateral,40,1.326,0.5761673523170515,3.814508214637529,3.7444020035086494,-1.837883343909397,1.7905143352299868,40.91580502215659,41.34746219433933,0.4316571721827367,0.4653053381964229,0.3644891815871979,,0.0021098039890823,3.814508214637529,3.744401624615605,1.7553592260594495,-2.640898547989344,0.9158206362110124,-0.1128054321310651,-1.837883343909396,"Sigma fixed at 1.326; R=1.4 hourly is an explicit hypothesis, not a verified Brazilian observation",1.400000000000001,1.3441272727272742
bridge_recalibrated_assumed_hourly,bilateral,36,1.326,0.5761673523170515,3.814508214637529,3.533099496006318,-7.377326323518007,7.589777564564715,40.91580502215659,42.71015441968586,1.7943493975292657,-3.1195254948039333,-2.4436283042630813,,0.0021098039890823,3.814508214637529,3.533092924621805,7.447374686945829,-6.568556472509775,-0.3626270102362552,-0.4461428407719799,-7.37732632351801,"Sigma fixed at 1.326; R=1.4 hourly is an explicit hypothesis, not a verified Brazilian observation",1.400000000000001,1.3441272727272742
bridge_recalibrated_assumed_hourly,flat_below,40,1.326,0.5760195128964878,3.81802704381645,3.748030382236472,-1.833320214254175,1.785990495413814,40.9158050221566,41.34637994423793,0.4305749220813337,0.4712151467067419,0.3691185315869478,,0.0021098039890823,3.81802704381645,3.748030005242047,1.7509228059059856,-2.6343033538084946,0.91351030582214,-0.1125271662678206,-1.833320214254175,"Sigma fixed at 1.326; R=1.4 hourly is an explicit hypothesis, not a verified Brazilian observation",1.4000000000000008,1.3441272727272733
bridge_recalibrated_assumed_hourly,flat_below,36,1.326,0.5760195128964878,3.81802704381645,3.5867519135719457,-6.057451337833497,6.149810542699741,40.9158050221566,42.37684716540252,1.4610421432459275,-1.3911829134272435,-1.0897599488513403,,0.0021098039890823,3.81802704381645,3.586747560649479,6.033049297966664,-6.551748587967552,0.8619666398760654,-0.3676693897420086,-6.057451337833495,"Sigma fixed at 1.326; R=1.4 hourly is an explicit hypothesis, not a verified Brazilian observation",1.4000000000000008,1.3441272727272733
rais_verified_only,bilateral,40,1.326,0.622,4.186172911121856,4.102747602869835,-1.9928777435441412,1.9264280611575255,35.292452703972806,35.701641245259786,0.4091885412869811,0.5363681785860198,0.4201550732257156,,0.0021098039890823,4.186172911121856,4.102747304020932,1.892504629790115,-2.84276602290864,0.9854119057768448,-0.1355236264123457,-1.992877743544141,"RAIS 2022 establishment links verified; 50%/20% group informality and all other parameters still hypotheses, not matched PNAD universes",1.3967755653744487,1.3410315223563232
rais_verified_only,bilateral,36,1.326,0.622,4.186172911121856,3.851671663481583,-7.99062185777295,8.191619243289905,35.292452703972806,36.99031873217606,1.6978660282032545,-3.309937627316716,-2.5927844747314275,,0.0021098039890823,4.186172911121856,3.8516664817737984,8.053237141517977,-7.0637485829827495,-0.3892786048752102,-0.5375946699149874,-7.990621857772946,"RAIS 2022 establishment links verified; 50%/20% group informality and all other parameters still hypotheses, not matched PNAD universes",1.3967755653744487,1.3410315223563232
rais_verified_only,flat_below,40,1.326,0.622,4.190939016654574,4.107604822122992,-1.9884372977133744,1.921950719379506,35.29245270397281,35.700921157611646,0.4084684536388328,0.5420927979283009,0.424639358377169,,0.0021098039890823,4.190939016654574,4.107604524422721,1.8880550881041456,-2.836167933812836,0.9830997930268416,-0.1353691569273822,-1.988437297713376,"RAIS 2022 establishment links verified; 50%/20% group informality and all other parameters still hypotheses, not matched PNAD universes",1.3976296640610175,1.3418515347407642
