efficiency_mode,hours_cap,gain_pct,A_mult,dGHH_pct,CE_pct,dY_pct,Y0,Y1,C0_per_worker,C1_per_worker,hours0_per_worker,hours1_per_worker,informality_pct,max_kkt_violation,resource_residual
flat_below,36,0.0,1.0,-2.1209845049641367,-1.661437862221907,-6.646222182138706,4.268422256052508,3.984733429243401,7.2346139933093365,6.753776284132943,38.22434720369175,35.034018825055774,40.878599085827844,2.491279751937192e-15,0.0
flat_below,36,0.1,1.001,-1.9901995230966554,-1.5589896264257135,-6.544032978175618,4.268422256052508,3.9890952959686445,7.2346139933093365,6.761169467517011,38.22434720369175,35.03383931797573,40.85505366457968,2.2326975337993993e-15,0.0
flat_below,36,0.2,1.002,-1.8594288296140147,-1.456552583197645,-6.441854367130128,4.268422256052508,3.9934567105434353,7.2346139933093365,6.768561882172576,38.22434720369175,35.0336602058972,40.83156005452931,4.141652298894627e-16,0.0
flat_below,36,0.30000000000000004,1.003,-1.7286723869809242,-1.3541267031350577,-6.339686321434234,4.268422256052508,3.9978176741444926,7.2346139933093365,6.775953530108171,38.22434720369175,35.03348148768429,40.8081181066881,1.5531196120854851e-15,0.0
flat_below,36,0.4,1.004,-1.5979301577519451,-1.2517119569056905,-6.237528813583893,4.268422256052508,4.002178187945805,7.2346139933093365,6.783344413327614,38.22434720369175,35.033303162204746,40.78472767253827,1.4420973096229694e-15,0.0
flat_below,36,0.5,1.005,-1.4672021045713781,-1.1493083152475796,-6.135381816139085,4.268422256052508,4.006538253118629,7.2346139933093365,6.790734533830018,38.22434720369175,35.033125228329865,40.76138860403172,1.481020167615199e-15,0.0
flat_below,36,0.6000000000000001,1.006,-1.336488190173344,-1.0469157489691194,-6.033245301723788,4.268422256052508,4.010897870831488,7.2346139933093365,6.798123893609778,38.22434720369175,35.032947684934506,40.73810075358875,1.5543122344752192e-15,0.0
flat_below,36,0.7000000000000001,1.007,-1.205788377382174,-0.9445342289493699,-5.9311192430263615,4.268422256052508,4.015257042250158,7.2346139933093365,6.805512494656552,38.22434720369175,35.03277053089711,40.71486397409676,1.854094135167461e-15,0.0
flat_below,36,0.8,1.008,-1.0751026291117367,-0.8421637261375271,-5.829003612799033,4.268422256052508,4.019615768537689,7.2346139933093365,6.812900338955306,38.22434720369175,35.032593765099676,40.69167811890906,2.721130612504119e-15,0.0
flat_below,36,0.9,1.009,-0.9444309083659227,-0.7398042115533062,-5.726898383858304,4.268422256052508,4.023974050854389,7.2346139933093365,6.820287428486265,38.22434720369175,35.03241738642771,40.66854304184343,8.294146619514109e-16,0.0
flat_below,36,1.0,1.01,-0.8137731782387091,-0.6374556562869889,-5.624803529084977,4.268422256052508,4.028331890357818,7.2346139933093365,6.827673765224933,38.22434720369175,35.032241393770285,40.64545859718123,4.00829543167891e-16,0.0
flat_below,36,1.1,1.011,-0.6831294019137818,-0.5351180314991292,-5.522719021423939,4.268422256052508,4.032689288202803,7.2346139933093365,6.835059351142093,38.22434720369175,35.03206578601998,40.622424639665724,1.1002483646382899e-15,0.0
flat_below,36,1.2000000000000002,1.012,-0.5524995426650222,-0.432791308420934,-5.420644833884514,4.268422256052508,4.037046245541421,7.2346139933093365,6.842444188203793,38.22434720369175,35.03189056207289,40.59944102450107,1.8407584484458894e-15,0.0
flat_below,36,1.3,1.013,-0.4218835638560051,-0.33047545835387065,-5.318580939540174,4.268422256052508,4.041402763523009,7.2346139933093365,6.849828278371363,38.22434720369175,35.03171572082861,40.576507607350955,1.6653345369377348e-15,0.0
