observation_date,RTFPNABRA632NRUG
1954-01-01,0.952063620090485
1955-01-01,0.968268096446991
1956-01-01,0.963096022605896
1957-01-01,1.004330039024350
1958-01-01,1.016971826553340
1959-01-01,1.032779932022090
1960-01-01,1.057681202888490
1961-01-01,1.149314641952510
1962-01-01,1.154441118240360
1963-01-01,1.182933688163760
1964-01-01,1.184733271598820
1965-01-01,1.213728666305540
1966-01-01,1.204658865928650
1967-01-01,1.223317027091980
1968-01-01,1.296433091163640
1969-01-01,1.292702555656430
1970-01-01,1.350507616996770
1971-01-01,1.405820727348330
1972-01-01,1.468894720077510
1973-01-01,1.508055448532100
1974-01-01,1.536282777786250
1975-01-01,1.522812247276310
1976-01-01,1.578405499458310
1977-01-01,1.516279339790340
1978-01-01,1.501739621162410
1979-01-01,1.561059117317200
1980-01-01,1.660192370414730
1981-01-01,1.503306746482850
1982-01-01,1.430362820625310
1983-01-01,1.353747248649600
1984-01-01,1.377612233161930
1985-01-01,1.408156871795650
1986-01-01,1.443530082702640
1987-01-01,1.427479386329650
1988-01-01,1.369180321693420
1989-01-01,1.384127974510190
1990-01-01,1.284420490264890
1991-01-01,1.265574216842650
1992-01-01,1.225773096084590
1993-01-01,1.255106925964360
1994-01-01,1.286271810531620
1995-01-01,1.290680408477780
1996-01-01,1.284933924674990
1997-01-01,1.284100770950320
1998-01-01,1.256166219711300
1999-01-01,1.208887577056880
2000-01-01,1.209350824356080
2001-01-01,1.193108081817630
2002-01-01,1.184906840324400
2003-01-01,1.167948365211490
2004-01-01,1.180736780166630
2005-01-01,1.177000522613530
2006-01-01,1.176894426345830
2007-01-01,1.211827993392940
2008-01-01,1.222583770751950
2009-01-01,1.190806508064270
2010-01-01,1.215332150459290
2011-01-01,1.196606040000920
2012-01-01,1.179860830307010
2013-01-01,1.163810849189760
2014-01-01,1.128624200820920
2015-01-01,1.075138568878170
2016-01-01,1.037839889526370
2017-01-01,1.042254090309140
2018-01-01,1.033758997917180
2019-01-01,1.011367559432980
2020-01-01,1.044248938560490
2021-01-01,1.000000000000000
2022-01-01,0.969752252101898
2023-01-01,0.976752758026123
