input_kind,efficiency_mode,h0,h1,sector,sigma_sub,omega,Y_base,Y_reform,dY_pct,A_req_pct,A_req_frozen_pct,inf_base,inf_reform,dInf_pp,dGHH_pct,CE_pct,C_base,C_reform,h_avg_base,h_avg_reform,decomp_hours_pct,decomp_efficiency_pct,decomp_reallocation_pct,decomp_total_pct,contribution_to_dY
frozen,bilateral,44.0,40,agriculture,1.326,0.622,0.3212787521353637,0.31264839425599483,-2.6862523033371,2.257746473163169,2.064102323513106,0.6069999999999999,0.6166895196311886,0.9689519631188692,-1.2327701187591171,-0.9656699263613084,0.3212787521353637,0.3126483871721731,43.59128,42.40542840166575,-3.0994963667728266,1.077137597603904,-0.6638935341681736,-2.6862523033370964,-0.20172927890664308
frozen,bilateral,44.0,40,industry,1.326,0.622,0.9609095043145413,0.9426139195759741,-1.9039862397467133,1.9303866799119218,1.9587376659452094,0.22800000000000006,0.22920685558496695,0.12068555849668872,1.2751773744933341,0.9988889433531118,0.9609095043145413,0.9426139189491756,42.76480000000001,40.76266879345686,-2.9400867622524323,1.0189785661478794,0.01712195635784284,-1.90398623974671,-0.4276479803125425
frozen,bilateral,44.0,40,services,1.326,0.622,2.9959997815705313,2.938799654723626,-1.9092166561147206,1.9068369868523893,1.8482398565938807,0.3709999999999998,0.3759331957590729,0.4933195759073139,0.5267404459010733,0.4126133492891741,2.9959997815705313,2.938799525886222,42.842639999999996,41.254106061339925,-2.7775384741788236,0.9628386235026987,-0.09451680543859953,-1.9092166561147244,-1.3370175957336474
frozen,bilateral,44.0,40,AGGREGATE,1.326,0.622,4.278188038020437,4.194061968555594,-1.9663948549528576,1.9429620735868847,1.8892243104635442,0.3620309999999998,0.3666120362328592,0.4581036232859381,0.5396795734412856,0.42274899919567366,4.278188038020437,4.194061832007571,42.89047288,41.25220669488736,-2.8382259480779264,0.9840315293364992,-0.11220043621142504,-1.9663948549528523,-1.9663948549528576
frozen,bilateral,44.0,36,agriculture,1.326,0.622,0.3212787521353637,0.2901148223990767,-9.699966004336558,8.68833713053483,7.928742207071338,0.6069999999999999,0.6428370207811825,3.583702078118267,-7.97885617047246,-6.250104000203427,0.3212787521353637,0.290114725498374,43.59128,41.14269616624946,-7.109147058778875,-0.23712794168328408,-2.353691003874404,-9.699966004336563,-0.7284375875798786
frozen,bilateral,44.0,36,industry,1.326,0.622,0.9609095043145413,0.8857694130069399,-7.819684472910071,8.429883925133531,8.571767275179475,0.22800000000000006,0.23303653191305915,0.5036531913059084,-1.5218738474620512,-1.1921345138452735,0.9609095043145413,0.8857694020905125,42.76480000000001,37.86429225530447,-7.448473549882116,-0.4465506265725113,0.0753397035445521,-7.819684472910075,-1.756353171946352
frozen,bilateral,44.0,36,services,1.326,0.622,2.9959997815705313,2.768002123445506,-7.610069250589424,8.052807393378192,7.807701433781689,0.3709999999999998,0.39166509429210666,2.066509429210689,-3.1348399806390197,-2.4556246515005653,2.9959997815705313,2.7679998626564206,42.842639999999996,39.13332075433686,-6.871249082964729,-0.3709992257772874,-0.3678209418474095,-7.610069250589426,-5.329304277857836
frozen,bilateral,44.0,36,AGGREGATE,1.326,0.622,4.278188038020437,3.9438863588515227,-7.814095037384073,8.191016307716348,7.9874868990836845,0.3620309999999998,0.38081310988073147,1.8782109880731646,-3.1853138199836373,-2.4951624923205165,4.278188038020437,3.943883990245307,42.89047288,39.046504879045855,-7.0187629452775635,-0.3779152518436915,-0.41741684026281733,-7.814095037384072,-7.814095037384073
frozen,flat_below,44.0,40,agriculture,1.326,0.622,0.3214336441270598,0.3128074607943365,-2.683659128511595,2.255304178868056,2.061872089273553,0.607,0.6166803076651749,0.9680307665174914,-1.229390643217675,-0.9630226705205123,0.3214336441270598,0.3128074537239778,43.591280000000005,42.40539007988713,-3.0961902450557885,1.0759724623856455,-0.6634413458414481,-2.683659128511591,-0.20140696651601012
frozen,flat_below,44.0,40,industry,1.326,0.622,0.9615713142802422,0.9432879438798285,-1.9014055566018206,1.9277536915464522,1.956018777495383,0.22799999999999995,0.22920659345320513,0.12065934532051736,1.2784738046007478,1.0014711469372524,0.9615713142802422,0.9432879432533022,42.7648,40.76266769250346,-2.9360612278065252,1.0175685277687527,0.017087143435947576,-1.9014055566018249,-0.42688614744215003
