version,scenario,group,A,alpha,h0,h1,hI,h_star,omega,sigma_sub,eta_I,kappa,efficiency_mode,resource_costs,h_ref_efficiency,share_basis_input,formal_wedge,pi_m,normalization,identified_combination_tau_minus_pi_NI,N_total,K,gamma_F,NF_init,inf_target,share_total,input_share,share_formal_implied,NF_frozen
national_bridge_assumed,flat_below_40,Grandes,1.0,0.35,44.0,40,44.0,40.0,0.5760195128964878,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,0.0,98.354081480699,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,-3.5143061019469846,0.17865583456425405,0.65,0.03,0.14292466765140324,0.2,0.30280649926144754,0.41,0.41000000000000003,0.14292466765140321
national_bridge_assumed,flat_below_36,Pequenas,1.0,0.35,44.0,36,44.0,40.0,0.5760195128964878,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,1.7923762745179,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,1.7923762745179,0.4113441654357459,0.35,0.12,0.20567208271787296,0.5,0.6971935007385525,0.59,0.5900000000000001,0.20567208271787282
national_bridge_assumed,flat_below_36,Grandes,1.0,0.35,44.0,36,44.0,40.0,0.5760195128964878,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,0.0,98.354081480699,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,-3.5143061019469846,0.17865583456425405,0.65,0.03,0.14292466765140324,0.2,0.30280649926144754,0.41,0.41000000000000003,0.14292466765140321
national_rais_only,bilateral_40,Pequenas,1.0,0.35,44.0,40,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,2.7444571554991137,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,2.7444571554991137,0.3007515698447981,0.35,0.12,0.15037578492239906,0.5,0.5097484234657595,0.3938863739756182,0.39388637397561815,0.15037578492239906
national_rais_only,bilateral_40,Grandes,1.0,0.35,44.0,40,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,0.0,32.91031776201679,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,-1.9038515497144424,0.28924843015520185,0.65,0.03,0.2313987441241615,0.2,0.49025157653424045,0.6061136260243818,0.6061136260243818,0.23139874412416137
national_rais_only,bilateral_36,Pequenas,1.0,0.35,44.0,36,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,2.7444571554991137,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,2.7444571554991137,0.3007515698447981,0.35,0.12,0.15037578492239906,0.5,0.5097484234657595,0.3938863739756182,0.39388637397561815,0.15037578492239906
national_rais_only,bilateral_36,Grandes,1.0,0.35,44.0,36,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,0.0,32.91031776201679,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,-1.9038515497144424,0.28924843015520185,0.65,0.03,0.2313987441241615,0.2,0.49025157653424045,0.6061136260243818,0.6061136260243818,0.23139874412416137
national_rais_only,flat_below_40,Pequenas,1.0,0.35,44.0,40,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,2.74954655527831,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,2.74954655527831,0.3007515698447981,0.35,0.12,0.15037578492239906,0.5,0.5097484234657595,0.3938863739756182,0.39388637397561815,0.15037578492239903
national_rais_only,flat_below_40,Grandes,1.0,0.35,44.0,40,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,0.0,32.883622000710794,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,-1.9023072083045314,0.28924843015520185,0.65,0.03,0.2313987441241615,0.2,0.49025157653424045,0.6061136260243818,0.6061136260243818,0.23139874412416134
national_rais_only,flat_below_36,Pequenas,1.0,0.35,44.0,36,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,2.74954655527831,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,2.74954655527831,0.3007515698447981,0.35,0.12,0.15037578492239906,0.5,0.5097484234657595,0.3938863739756182,0.39388637397561815,0.15037578492239903
national_rais_only,flat_below_36,Grandes,1.0,0.35,44.0,36,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,0.0,32.883622000710794,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,-1.9023072083045314,0.28924843015520185,0.65,0.03,0.2313987441241615,0.2,0.49025157653424045,0.6061136260243818,0.6061136260243818,0.23139874412416134
single_group_control,bilateral_40,Brasil,1.0,0.35,44.0,40,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,1.9558710167406557,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,1.9558710167406557,0.59,1.0,0.06,0.34859675036927623,0.4091580502215657,1.0,1.0,1.0,0.34859675036927623
single_group_control,bilateral_36,Brasil,1.0,0.35,44.0,36,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,1.9558710167406557,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,1.9558710167406557,0.59,1.0,0.06,0.34859675036927623,0.4091580502215657,1.0,1.0,1.0,0.34859675036927623
single_group_control,flat_below_40,Brasil,1.0,0.35,44.0,40,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,1.9605566423569831,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,1.9605566423569831,0.59,1.0,0.06,0.34859675036927623,0.4091580502215657,1.0,1.0,1.0,0.34859675036927606
single_group_control,flat_below_36,Brasil,1.0,0.35,44.0,36,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,1.9605566423569831,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,1.9605566423569831,0.59,1.0,0.06,0.34859675036927623,0.4091580502215657,1.0,1.0,1.0,0.34859675036927606
empirical_fixed_omega,bilateral_40,Brasil,1.0,0.35,120.0,40,35.484752321570376,40.0,0.622,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,1.620149157907382,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,1.620149157907382,0.59,1.0,0.06,0.3622594854508205,0.3860008721172535,1.0,1.0,1.0,0.3622594854508204
empirical_fixed_omega,bilateral_36,Brasil,1.0,0.35,120.0,36,35.484752321570376,40.0,0.622,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,1.620149157907382,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,1.620149157907382,0.59,1.0,0.06,0.3622594854508205,0.3860008721172535,1.0,1.0,1.0,0.3622594854508204
empirical_fixed_omega,flat_below_40,Brasil,1.0,0.35,120.0,40,35.484752321570376,40.0,0.622,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,1.6354637393084284,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,1.6354637393084284,0.59,1.0,0.06,0.3622594854508205,0.3860008721172535,1.0,1.0,1.0,0.36225948545082054
empirical_fixed_omega,flat_below_36,Brasil,1.0,0.35,120.0,36,35.484752321570376,40.0,0.622,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,1.6354637393084284,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,1.6354637393084284,0.59,1.0,0.06,0.3622594854508205,0.3860008721172535,1.0,1.0,1.0,0.36225948545082054
national_empirical,bilateral_40,Brasil,1.0,0.35,120.0,40,35.484752321570376,40.0,0.6772094354663557,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,2.627302223117739,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,2.627302223117739,0.59,1.0,0.06,0.3622594854508205,0.3860008721172535,1.0,1.0,1.0,0.3622594854508204
national_empirical,bilateral_36,Brasil,1.0,0.35,120.0,36,35.484752321570376,40.0,0.6772094354663557,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,2.627302223117739,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,2.627302223117739,0.59,1.0,0.06,0.3622594854508205,0.3860008721172535,1.0,1.0,1.0,0.3622594854508204
national_empirical,flat_below_40,Brasil,1.0,0.35,120.0,40,35.484752321570376,40.0,0.6781678312317156,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,2.6806379111225556,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,2.6806379111225556,0.59,1.0,0.06,0.3622594854508205,0.3860008721172535,1.0,1.0,1.0,0.3622594854508205
national_empirical,flat_below_36,Brasil,1.0,0.35,120.0,36,35.484752321570376,40.0,0.6781678312317156,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,2.6806379111225556,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,2.6806379111225556,0.59,1.0,0.06,0.3622594854508205,0.3860008721172535,1.0,1.0,1.0,0.3622594854508205
empirical_topcode44,bilateral_40,Brasil,1.0,0.35,44.0,40,35.484752321570376,40.0,0.6756514587578325,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,2.6610153379370467,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,2.6610153379370467,0.59,1.0,0.06,0.3622594854508205,0.3860008721172535,1.0,1.0,1.0,0.3622594854508205
empirical_topcode44,bilateral_36,Brasil,1.0,0.35,44.0,36,35.484752321570376,40.0,0.6756514587578325,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,2.6610153379370467,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,2.6610153379370467,0.59,1.0,0.06,0.3622594854508205,0.3860008721172535,1.0,1.0,1.0,0.3622594854508205
empirical_topcode44,flat_below_40,Brasil,1.0,0.35,44.0,40,35.484752321570376,40.0,0.6766504686787346,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,2.7142366600517938,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,2.7142366600517938,0.59,1.0,0.06,0.3622594854508205,0.3860008721172535,1.0,1.0,1.0,0.3622594854508204
empirical_topcode44,flat_below_36,Brasil,1.0,0.35,44.0,36,35.484752321570376,40.0,0.6766504686787346,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,2.7142366600517938,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,2.7142366600517938,0.59,1.0,0.06,0.3622594854508205,0.3860008721172535,1.0,1.0,1.0,0.3622594854508204
