sector,formal_income_monthly_sum,informal_income_monthly_sum,formal_hours_weekly_sum,formal_hours_weekly_sum_capped44,informal_hours_weekly_sum,formal_paid_weight,informal_paid_weight,hourly_ratio_formal_capped44,hourly_ratio_full_habitual,formal_hourly_pay_capped44,informal_hourly_pay
agriculture,5710823930.659598,8596756080.93222,84548347.20106493,78483307.01153615,190756783.10192484,1870272.3717146404,5226591.233177801,1.614607114291835,1.4987839508278458,16.79188219404563,10.399980308157216
industry,44745505001.48893,16415907898.203266,529521133.58164525,516099285.00371724,307069824.3140855,12455473.932819718,8230188.583706365,1.6217667428810132,1.5806595872431686,20.007556820195937,12.336889326422613
services,192089317036.18478,53266543754.60902,1975022161.0623472,1902119977.5330124,857775075.2959412,48162677.37146362,24457161.663473558,1.6262383936009164,1.5662105457265543,23.304683434806055,14.330422603787751
national,242578288489.13986,78297771173.62552,2589416178.398126,2497027106.1013346,1356028753.3293488,62496130.341428846,37925514.648396105,1.6824732562046965,1.6224434531156178,22.418501144490012,13.324729568101073
CLASSIFIED_AGGREGATE,242545645968.3333,78279207733.7445,2589091641.8450575,2496702569.548266,1355601682.7119515,62488423.67599798,37913941.48035772,1.6823345045627869,1.6223021280885903,22.4183981020477,13.3257672842381
