scenario_variant,input_kind,efficiency_mode,h0,h1,sector,sigma_sub,omega,kappa,bridge_target,hourly_ratio_target,Y_base,Y_reform,C_base,C_reform,inf_base,inf_reform,h_avg_base,h_avg_reform,baseline_operator_h0,dY_pct,A_req_pct,A_req_frozen_pct,dInf_pp,dGHH_pct,CE_pct,decomp_hours_pct,decomp_efficiency_pct,decomp_reallocation_pct,decomp_total_pct,contribution_to_dY
empirical_bridge_topcoded44,reprocessed,bilateral,44.0,40,agriculture,1.326,0.6744758937357848,0.0021098039890823555,1.6823345045627869,1.6823345045627869,0.24144361071226347,0.23399630797642537,0.24144361071226347,0.23399630398735372,0.7574959911278665,0.7656550338541909,37.204097627739614,36.52161050877966,44.0,-3.084489464794038,2.0854133037702782,1.8960036698287386,0.8159042726324395,-2.443205763411661,-1.9138445146724674,-2.8441179245641575,0.9833936551685623,-1.2237651953984452,-3.08448946479404,-0.18030229846246168
empirical_bridge_topcoded44,reprocessed,bilateral,44.0,40,industry,1.326,0.6744758937357848,0.0021098039890823555,1.6823345045627869,1.6823345045627869,0.9567651174948583,0.9387742773723425,0.9567651174948583,0.9387742592409786,0.40258146468438455,0.40901608459141964,39.68240414577402,38.40714622521727,44.0,-1.8803821119254382,1.746101555900692,1.6527717243914886,0.6434619907035088,0.1813853597159717,0.14208519844417783,-2.480429241484357,0.8545299213235625,-0.254482791764645,-1.8803821119254394,-0.43556572633342977
empirical_bridge_topcoded44,reprocessed,bilateral,44.0,40,services,1.326,0.6744758937357848,0.0021098039890823555,1.6823345045627869,1.6823345045627869,2.9322448485611217,2.8870067713850327,2.9322448485611217,2.887006667557743,0.34211219664946746,0.3464947614883561,37.91657319785834,36.792113987745985,44.0,-1.5427796624244317,1.4950513333399806,1.4368866030220362,0.43825648388886584,0.4190609238492498,0.32826439034857907,-2.157904782244265,0.7413721468871072,-0.12624702706727034,-1.5427796624244283,-1.0952326744580971
empirical_bridge_topcoded44,reprocessed,bilateral,44.0,40,AGGREGATE,1.326,0.6744758937357848,0.0021098039890823555,1.6823345045627869,1.6823345045627869,4.130453576768243,4.0597773567338,4.130453576768243,4.059777230786075,0.38596029627190204,0.39104914250881595,38.224203330432566,37.10234361424419,44.0,-1.7111006992539868,1.6015275054297007,1.5135617945614133,0.5088846236913913,0.18021510029761897,0.14116849523313485,-2.2727255693866844,0.7817309004925959,-0.22010603035990167,-1.71110069925399,-1.71110069925399
empirical_bridge_topcoded44,reprocessed,bilateral,44.0,36,agriculture,1.326,0.6744758937357848,0.0021098039890823555,1.6823345045627869,1.6823345045627869,0.24144361071226347,0.2123141037503092,0.24144361071226347,0.21231404197620782,0.7574959911278665,0.7896034923052084,37.204097627739614,35.639573347661354,44.0,-12.064724709849074,8.854006177848838,8.025977477900724,3.2107501177341957,-12.057031936828906,-9.444675017182643,-7.045736360152845,-0.3839371917875991,-4.6350511579086335,-12.064724709849077,-0.7052374859214815
empirical_bridge_topcoded44,reprocessed,bilateral,44.0,36,industry,1.326,0.6744758937357848,0.0021098039890823555,1.6823345045627869,1.6823345045627869,0.9567651174948583,0.8702140001028892,0.9567651174948583,0.8702135308186528,0.40258146468438455,0.435317467055551,39.68240414577402,36.206920488359806,44.0,-9.046224178677187,8.969130184696539,8.480374646249356,3.2736002371166473,-4.898872947015767,-3.837450475162351,-7.164274441452559,-0.6531530645858025,-1.2287966726388273,-9.046224178677189,-2.0954385706881267
empirical_bridge_topcoded44,reprocessed,bilateral,44.0,36,services,1.326,0.6744758937357848,0.0021098039890823555,1.6823345045627869,1.6823345045627869,2.9322448485611217,2.700030387578295,2.9322448485611217,2.7000273120893006,0.34211219664946746,0.3659644646354512,37.91657319785834,34.63700307011613,44.0,-7.919340743211678,8.161551014562264,7.840223066550189,2.385226798598372,-3.5356267046256127,-2.76957425195673,-6.589950582716253,-0.6802709019999326,-0.6491192584954929,-7.919340743211678,-5.622008737464522
empirical_bridge_topcoded44,reprocessed,bilateral,44.0,36,AGGREGATE,1.326,0.6744758937357848,0.0021098039890823555,1.6823345045627869,1.6823345045627869,4.130453576768243,3.7825584914314936,4.130453576768243,3.7825548848841613,0.38596029627190204,0.4122570785331011,38.224203330432566,35.03442990635957,44.0,-8.42268479407412,8.405137074205072,7.998702779822131,2.629678226119908,-4.389748563347912,-3.4386363746225315,-6.749627864095014,-0.6566673727368152,-1.0163895572422932,-8.42268479407412,-8.42268479407412
empirical_bridge_topcoded44,reprocessed,flat_below,44.0,40,agriculture,1.326,0.6755751882551347,0.0021098039890823555,1.6823345045627869,1.6823345045627869,0.24443107743147846,0.2369707401303539,0.24443107743147846,0.2369707362231304,0.7574959911278665,0.7655708960317563,37.204097627739614,36.52191253032294,44.0,-3.052123068604451,2.0646764710146703,1.8769462725893415,0.8074904903889846,-2.402536027364015,-1.8819865547684782,-2.815918659598445,0.9735526079431086,-1.209757016949111,-3.0521230686044474,-0.17707763691275724
empirical_bridge_topcoded44,reprocessed,flat_below,44.0,40,industry,1.326,0.6755751882551347,0.0021098039890823555,1.6823345045627869,1.6823345045627869,0.9641704869245503,0.9461586758774211,0.9641704869245503,0.9461586579373276,0.40258146468438466,0.4089820547340131,39.68240414577402,38.407222598211376,44.0,-1.8681147464471914,1.7333990854523584,1.640613292648574,0.6400590049628452,0.19689626812785258,0.1542354100334845,-2.462392154109846,0.8482605196175925,-0.2539831119549399,-1.8681147464471934,-0.4275261034462831
empirical_bridge_topcoded44,reprocessed,flat_below,44.0,40,services,1.326,0.6755751882551347,0.0021098039890823555,1.6823345045627869,1.6823345045627869,3.0044303188287005,2.95946565095675,3.0044303188287005,2.9594655534999066,0.34211219664946774,0.34635818464297097,37.91657319785834,36.792508602373815,44.0,-1.4966121061339877,1.449994775881125,1.393667995146397,0.4245987993503231,0.4771854662214573,0.3737952818734749,-2.0936791469829554,0.7191672837637377,-0.12210024291477392,-1.4966121061339916,-1.067275755766666
empirical_bridge_topcoded44,reprocessed,flat_below,44.0,40,AGGREGATE,1.326,0.6755751882551347,0.0021098039890823555,1.6823345045627869,1.6823345045627869,4.213031883184729,4.142595066964525,4.213031883184729,4.142594947660364,0.3859602962719023,0.390937537125748,38.224203330432566,37.10266604657709,44.0,-1.6718794961257055,1.5648480198568127,1.4780210613727363,0.497724085384571,0.22962552675686593,0.17987332929287828,-2.2199634943605844,0.763469717763529,-0.21538571952865235,-1.6718794961257077,-1.6718794961257077
empirical_bridge_topcoded44,reprocessed,flat_below,44.0,36,agriculture,1.326,0.6755751882551347,0.0021098039890823555,1.6823345045627869,1.6823345045627869,0.24443107743147846,0.22029180767214135,0.24443107743147846,0.2202917663788483,0.7574959911278665,0.7837468216333886,37.204097627739614,35.63843675299024,44.0,-9.875695845633247,7.104437776880945,6.444107613659256,2.6250830505522127,-9.260189685909843,-7.25381525396271,-6.974312614280866,0.9203301458024223,-3.8217133771548073,-9.87569584563325,-0.5729667001971435
empirical_bridge_topcoded44,reprocessed,flat_below,44.0,36,industry,1.326,0.6755751882551347,0.0021098039890823555,1.6823345045627869,1.6823345045627869,0.9641704869245503,0.8937105182407964,0.9641704869245503,0.8937102194581235,0.40258146468438466,0.42870219795785036,39.68240414577402,36.19668291370745,44.0,-7.30783296515356,7.123504419402993,6.736530462342238,2.61207332734657,-2.661810241865305,-2.0850846894611554,-7.1107765708728845,0.7994130356688338,-0.9964694299495144,-7.3078329651535645,-1.6724290401166297
empirical_bridge_topcoded44,reprocessed,flat_below,44.0,36,services,1.326,0.6755751882551347,0.0021098039890823555,1.6823345045627869,1.6823345045627869,3.0044303188287005,2.817446054607036,3.0044303188287005,2.817444217388208,0.34211219664946774,0.36054761660629225,37.91657319785834,34.63472262659156,44.0,-6.223617936812776,6.309040287239465,6.061771714092901,1.8435419956824517,-1.366653969337932,-1.0705456093147134,-6.389735600724225,0.6744136556662038,-0.5082959917547577,-6.223617936812778,-4.438235204626996
