version,efficiency_mode,hours_cap,sigma_sub,omega,kappa,Y0,Y1,C0,C1,dY_pct,A_req_pct,A_req_frozen_pct,baseline_informality_pct,informality_pct,dInf_pp,dGHH_pct,CE_pct,hours_pct,efficiency_pct,reallocation_pct,decomposition_total_pct,dimension,eta_I,E_Q,h_star,hourly_ratio,passes_assumed_R_interval,restrictions_note,theta_36,theta_40,theta_44
sensitivity,bilateral,40,0.6,0.58,0.0021098039890823555,2.960975959081706,2.9291162883999267,2.960975959081706,2.9291161117439595,-1.0759854562162663,0.9910006277673133,0.9010296149960295,40.91580502215657,40.582297838646646,-0.3335071835099235,1.4976135425181107,1.1731306083058533,-1.3775119803590972,0.48452841177307043,-0.18300188763024114,-1.0759854562162678,CES_grid,0.33,0.6,40.0,0.3663096146466117,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,0.6,0.58,0.0021098039890823555,3.2115957854037074,3.1752895448649077,3.2115957854037074,3.17528936758357,-1.1304735391610254,1.0507591317495457,0.9731617711972618,40.915805022156576,40.57859007878349,-0.337214943373082,1.428343755609057,1.1188692752270948,-1.486131617184868,0.522349009879349,-0.1666909318555093,-1.1304735391610283,CES_grid,0.4,0.6,40.0,0.4124170159428211,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,0.6,0.58,0.0021098039890823555,3.5138867268461187,3.471902883170953,3.5138867268461187,3.4719027089884706,-1.194797867398767,1.1205676245120477,1.0592875019562298,40.91580502215656,40.577419737427164,-0.3383852847293922,1.3463195000114085,1.0546169416756033,-1.6155146705093626,0.567330452967033,-0.14661364985643938,-1.194797867398769,CES_grid,0.5,0.6,40.0,0.47285902453603984,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,0.6,0.622,0.0021098039890823555,3.088059958508839,3.0525268403629697,3.088059958508839,3.052526663645295,-1.150661535828057,1.0727819081393752,1.000128919305121,40.91580502215657,40.57787592417708,-0.33792909797949466,1.4026272310666827,1.0987246643355681,-1.5266792140739016,0.5364538252487334,-0.16043614700289063,-1.150661535828059,CES_grid,0.33,0.6,40.0,0.4306741520123816,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,0.6,0.622,0.0021098039890823555,3.33374283157129,3.293524499728061,3.33374283157129,3.2935243266165095,-1.2064017494796686,1.133030714946348,1.0748654584617157,40.91580502215657,40.57764613178782,-0.3381588903687449,1.3314880926717942,1.0429990059262388,-1.6388811438762179,0.5754461805089489,-0.14296678611240327,-1.2064017494796722,CES_grid,0.4,0.6,40.0,0.4844858360151413,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,0.6,0.622,0.0021098039890823555,3.6272309190090732,3.581069132378043,3.6272309190090732,3.581068973469973,-1.272645377748416,1.2030882253759367,1.1632767046732218,40.91580502215657,40.58604644007924,-0.329758582077333,1.2462682641881229,0.9762434736140295,-1.771290128231051,0.6213899445219194,-0.12274519403928039,-1.272645377748412,CES_grid,0.5,0.6,40.0,0.555007630977494,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,0.6,0.66,0.0021098039890823555,3.2146269561815957,3.175322335358449,3.2146269561815957,3.175322163966575,-1.2226806207658258,1.1504295241903328,1.0967067489621396,40.91580502215657,40.57815670014046,-0.3376483220161097,1.310666595652761,1.0266888332613295,-1.671624139558662,0.5868145703553702,-0.13787105156253315,-1.222680620765825,CES_grid,0.33,0.6,40.0,0.5011735381500565,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,0.6,0.66,0.0021098039890823555,3.454599586136009,3.410374286072086,3.454599586136009,3.410374130007594,-1.280185994388694,1.2109226681793261,1.1731597661950088,40.91580502215658,40.588130125851436,-0.3276748963051468,1.2364794133663817,0.9685755404703323,-1.7860698847812406,0.6265135667754511,-0.12062967638290516,-1.2801859943886948,CES_grid,0.4,0.6,40.0,0.5634063296109976,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,0.6,0.66,0.0021098039890823555,3.7386067290857348,3.688116586252682,3.7386067290857348,3.6881164566769296,-1.3505069265576375,1.282501609849196,1.2628298925175585,40.915805022156654,40.60893086649023,-0.30687415566642007,1.1450885554199512,0.8969860350789618,-1.9199711252498364,0.6728897491338947,-0.10342555044169799,-1.35050692655764,CES_grid,0.5,0.6,40.0,0.6449737167052364,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.0,0.58,0.0021098039890823555,3.4601741516716755,3.4055212614519035,3.4601741516716755,3.4055212448362084,-1.579483801223358,1.543683679338148,1.543683679338148,40.91580502215649,40.96566350274515,0.04985848058866593,0.8249737896541521,0.6462294685624193,-2.3307153321315175,0.810498984443263,-0.059267453535108684,-1.5794838012233632,CES_grid,0.33,0.6,40.0,0.9960614299692,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
