input_kind,efficiency_mode,h0,h1,sector,sigma_sub,omega,Y_base,Y_reform,dY_pct,A_req_pct,A_req_frozen_pct,inf_base,inf_reform,dInf_pp,dGHH_pct,CE_pct,C_base,C_reform,h_avg_base,h_avg_reform,decomp_hours_pct,decomp_efficiency_pct,decomp_reallocation_pct,decomp_total_pct,contribution_to_dY
reprocessed,bilateral,120.0,40,agriculture,1.326,0.6760343735546176,0.2345039112612389,0.23855157563735438,1.7260541004820773,-1.124037505075992,-1.022989617796155,0.7574959911278667,0.7529431631412782,-0.45528279865885146,5.197152602338808,4.071102871832066,0.2345039112612389,0.23855157439525626,37.99050530940949,36.56724110272199,-4.442160534692545,5.47572339322488,0.6924912419497483,1.7260541004820826,0.09927384213699732
reprocessed,bilateral,120.0,40,industry,1.326,0.6760343735546176,0.9499844438429671,0.9412533223683333,-0.9190804682352338,0.845636926784632,0.8004803765887747,0.40258146468438444,0.40570795578568625,0.31264911013018093,2.5766759046488508,2.018396125308266,0.9499844438429671,0.9412533180877882,40.32617419915796,38.414570637808794,-3.1584158954053883,2.364292322186091,-0.12495689501593867,-0.9190804682352356,-0.21414126627355984
reprocessed,bilateral,120.0,40,services,1.326,0.6760343735546176,2.892783450826027,2.895442453397008,0.09191847976806056,-0.08773678338896973,-0.08433620624318516,0.34211219664946774,0.3418549685936753,-0.025722805579242447,4.370402184665342,3.4234817113211844,2.892783450826027,2.8954424530393306,38.911908808217724,36.80551984831607,-3.0157426587576106,3.100150050993199,0.007511087532466632,0.09191847976805527,0.06521523944304516
reprocessed,bilateral,120.0,40,AGGREGATE,1.326,0.6760343735546176,4.077271805930232,4.0752473514026955,-0.049652184693516066,0.045759194632588596,0.06573863600125573,0.38596029627190226,0.38607058094961466,0.011028467771240225,3.992706949648443,3.1276204438912805,4.077271805930232,4.075247345522375,39.13172030246438,37.11696564762194,-3.1310251193686773,3.0653296706593256,0.016043264015839644,-0.04965218469351191,-0.049652184693516066
reprocessed,bilateral,120.0,36,agriculture,1.326,0.6760343735546176,0.2345039112612389,0.21641961684599792,-7.711724004080667,5.45061478376796,4.945935052280026,0.7574959911278667,0.7779775170673288,2.0481525939462064,-5.016737619805129,-3.9297778021806846,0.2345039112612389,0.21641959170873185,37.99050530940949,35.63731711331894,-8.535689052711456,3.8228480552815385,-2.9988830066507477,-7.711724004080664,-0.44353909368853167
reprocessed,bilateral,120.0,36,industry,1.326,0.6760343735546176,0.9499844438429671,0.8724340642724538,-8.163331523282535,8.020477287326955,7.583689665835225,0.40258146468438444,0.43196072723671075,2.9379262552326315,-2.772909917047228,-2.1721127683536614,0.9499844438429671,0.8724336862945085,40.32617419915796,36.2017257073197,-7.804356856451315,0.7552496085117284,-1.114224275342953,-8.16333152328254,-1.9020164281841416
reprocessed,bilateral,120.0,36,services,1.326,0.6760343735546176,2.892783450826027,2.707892712687682,-6.3914475895369804,6.488902035088229,6.23427953722655,0.34211219664946774,0.3610837126121012,1.8971515962633467,-0.004607008683219308,-0.0036088234685217914,2.892783450826027,2.707890767063801,38.911908808217724,34.634948318111505,-7.379468596847221,1.5110431089688636,-0.5230221016586267,-6.391447589536984,-4.534667957859187
reprocessed,bilateral,120.0,36,AGGREGATE,1.326,0.6760343735546176,4.077271805930232,3.7967463938061337,-6.880223479731851,6.761253164309466,6.470256293341148,0.38596029627190226,0.4071774557497792,2.1217159477876946,-0.9683900504674569,-0.7585722061995079,4.077271805930232,3.796744045067041,39.13172030246438,35.0317168884765,-7.544965401645548,1.4679101576770872,-0.8031682357633914,-6.880223479731852,-6.880223479731851
reprocessed,flat_below,120.0,40,agriculture,1.326,0.6770921951422844,0.23746861086223697,0.24152194263525048,1.7068916006608426,-1.1126569912727868,-1.0125068057300624,0.7574959911278665,0.7529927399954811,-0.45032511323853663,5.173049981334289,4.052222485378527,0.23746861086223697,0.2415219414200561,37.990505309409485,36.5670631414011,-4.394897209779782,5.417760576713368,0.6840282337272585,1.706891600660844,0.09743645932890077
reprocessed,flat_below,120.0,40,industry,1.326,0.6770921951422844,0.957353499157836,0.9486136621349417,-0.9129163919683325,0.8394119265995093,0.7945267296880276,0.40258146468438455,0.40569076549734073,0.3109300812956184,2.584472910986247,2.0245037802725605,0.957353499157836,0.9486136579013384,40.32617419915796,38.41460921786438,-3.134808773945553,2.346545010558087,-0.12465262858086407,-0.9129163919683297,-0.21009352856140376
