sector,lambda_s,inf_rate,occupied_weighted,sample_n,theta_36,theta_40,theta_44,avg_hours_formal_habitual,avg_hours_formal_actual,avg_hours_informal_habitual,wage_ratio_hourly_payroll
NATIONAL,1.0,0.3860008721172535,101831958.5143261,209311,0.14414630810109436,0.40025302032911664,0.4556006715697891,41.42440250746032,39.98102056697602,35.484752321570376,1.622443453115618
agriculture,0.07573590850142238,0.7574959911278667,7712335.8925616415,29840,0.05389008485651098,0.26816661800191216,0.677943297141577,45.20643542606158,43.648154151637506,35.68040466000036,1.4987839508278455
industry,0.20473753391281083,0.40258146468438455,20848824.059734784,38612,0.05136705887236836,0.41661475244862006,0.5320181886790115,42.51312607113056,40.89582745157173,37.080804755276816,1.5806595872431686
services,0.7193372276961081,0.3421121966494674,73251518.72856042,140823,0.17165178435672673,0.40113886222876166,0.4272093534145117,40.99612395030946,39.60248051081946,34.90392623709186,1.5662105457265543
unclassified,0.00018932988965873263,0.6002732366354928,19279.83346925,36,0.0,0.47221220448766454,0.5277877955123355,42.11115118204933,38.610543185352576,36.901790070003244,2.313989092128471
