h1,sector,lambda_s,inf_target,tau_s,A_req_pct,dY_pct,dInf_pp,Y_base,Y_reform,Y_share,contribution_to_dY
40,agriculture,0.085,0.607,3.7976,2.2023,-2.6441,0.775,0.256617,0.249832,0.075,-0.1983
40,industry,0.203,0.228,0.0,1.8799,-1.8621,0.0,0.764444,0.750209,0.2234,-0.4161
40,services,0.712,0.371,1.0018,1.8581,-1.8487,0.3,2.400142,2.355771,0.7015,-1.297
40,AGGREGATE,1.0,0.3619,,1.8947,-1.9114,0.2795,3.421203,3.355811,1.0,-1.9114
36,agriculture,0.085,0.607,3.7976,8.5536,-9.6085,2.9,0.256617,0.23196,0.075,-0.7207
36,industry,0.203,0.228,0.0,8.2202,-7.6793,-0.025,0.764444,0.70574,0.2234,-1.7159
36,services,0.712,0.371,1.0018,7.8535,-7.3843,1.2,2.400142,2.222909,0.7015,-5.1805
36,AGGREGATE,1.0,0.3619,,7.9922,-7.617,1.0958,3.421203,3.160609,1.0,-7.617
