h1,sector,formal_hours_above_cap_share,share_of_sector_employment,share_of_classified_total_employment,occupied_weighted,mechanically_exposed_weighted,interpretation,input_status
40,agriculture,0.6779432971415769,0.16440396734482426,0.012453641674702564,7712335.8925616415,1267938.6182330202,Mechanical exposure under model mapping of formal habitual hours to cap; not workers legally covered or welfare incidence,reprocessed_PNAD_2024Q4_habitual_hours
40,industry,0.5320181886790116,0.31783752704188184,0.0650855941198543,20848824.059734784,6626538.680877391,Mechanical exposure under model mapping of formal habitual hours to cap; not workers legally covered or welfare incidence,reprocessed_PNAD_2024Q4_habitual_hours
40,services,0.4272093534145117,0.2810558230886745,0.2022122014222378,73251518.72856042,20587765.888751004,Mechanical exposure under model mapping of formal habitual hours to cap; not workers legally covered or welfare incidence,reprocessed_PNAD_2024Q4_habitual_hours
36,agriculture,0.946109915143489,0.22943544725596993,0.017379792554567706,7712335.8925616415,1769483.2348981502,Mechanical exposure under model mapping of formal habitual hours to cap; not workers legally covered or welfare incidence,reprocessed_PNAD_2024Q4_habitual_hours
36,industry,0.9486329411276317,0.5667309022406142,0.11605305962989991,20848824.059734784,11815672.87002932,Mechanical exposure under model mapping of formal habitual hours to cap; not workers legally covered or welfare incidence,reprocessed_PNAD_2024Q4_habitual_hours
36,services,0.8283482156432733,0.5449601879988865,0.39208438413305363,73251518.72856042,39919161.41752024,Mechanical exposure under model mapping of formal habitual hours to cap; not workers legally covered or welfare incidence,reprocessed_PNAD_2024Q4_habitual_hours
