input_kind,efficiency_mode,h1,sector,hours_pct,efficiency_pct,reallocation_pct,total_pct,order,denominator
frozen,bilateral,40,agriculture,-3.0994963667728266,1.077137597603904,-0.6638935341681736,-2.6862523033370964,physical hours -> efficiency -> formal-informal reallocation,0.3212787521353637
frozen,bilateral,40,industry,-2.9400867622524323,1.0189785661478794,0.01712195635784284,-1.90398623974671,physical hours -> efficiency -> formal-informal reallocation,0.9609095043145413
frozen,bilateral,40,services,-2.7775384741788236,0.9628386235026987,-0.09451680543859953,-1.9092166561147244,physical hours -> efficiency -> formal-informal reallocation,2.9959997815705313
frozen,bilateral,40,AGGREGATE,-2.8382259480779264,0.9840315293364992,-0.11220043621142504,-1.9663948549528523,physical hours -> efficiency -> formal-informal reallocation,4.278188038020437
frozen,bilateral,36,agriculture,-7.109147058778875,-0.23712794168328408,-2.353691003874404,-9.699966004336563,physical hours -> efficiency -> formal-informal reallocation,0.3212787521353637
frozen,bilateral,36,industry,-7.448473549882116,-0.4465506265725113,0.0753397035445521,-7.819684472910075,physical hours -> efficiency -> formal-informal reallocation,0.9609095043145413
frozen,bilateral,36,services,-6.871249082964729,-0.3709992257772874,-0.3678209418474095,-7.610069250589426,physical hours -> efficiency -> formal-informal reallocation,2.9959997815705313
frozen,bilateral,36,AGGREGATE,-7.0187629452775635,-0.3779152518436915,-0.41741684026281733,-7.814095037384072,physical hours -> efficiency -> formal-informal reallocation,4.278188038020437
frozen,flat_below,40,agriculture,-3.0961902450557885,1.0759724623856455,-0.6634413458414481,-2.683659128511591,physical hours -> efficiency -> formal-informal reallocation,0.3214336441270598
frozen,flat_below,40,industry,-2.9360612278065252,1.0175685277687527,0.017087143435947576,-1.9014055566018249,physical hours -> efficiency -> formal-informal reallocation,0.9615713142802422
frozen,flat_below,40,services,-2.769956650992104,0.9601815164152714,-0.09453756826062136,-1.904312702837454,physical hours -> efficiency -> formal-informal reallocation,2.999956789113778
frozen,flat_below,40,AGGREGATE,-2.8317325586020843,0.9817555614562852,-0.11217248963179849,-1.9621494867775977,physical hours -> efficiency -> formal-informal reallocation,4.28296174752108
frozen,flat_below,36,agriculture,-7.101337638182167,1.0181326771527905,-1.9617833485397411,-8.044988309569117,physical hours -> efficiency -> formal-informal reallocation,0.3214336441270598
frozen,flat_below,36,industry,-7.438003184786031,0.9589893597782085,0.06083887446227774,-6.418174950545545,physical hours -> efficiency -> formal-informal reallocation,0.9615713142802422
frozen,flat_below,36,services,-6.851998813810265,0.9040072056607179,-0.3048602367692054,-6.252851844918753,physical hours -> efficiency -> formal-informal reallocation,2.999956789113778
frozen,flat_below,36,AGGREGATE,-7.002275869281487,0.9249163413628977,-0.3471078844259986,-6.424467412344588,physical hours -> efficiency -> formal-informal reallocation,4.28296174752108
